Folder,Image,Label,Area,Perimeter,Circularity,Aspect_Ratio,Inertia,Solidity,Eccentricity
0,1,2,119,504.853,0.586715,0.705882,16.6238,0.908397,0.787152
0,1,3,9,8,176.715,1,0.296296,2.24999,0.0000774597
0,1,4,12,10,150.796,0.75,0.541666,2,0.8
0,1,5,12,10,150.796,133.333,0.541666,2,0.8
0,1,6,9,8,176.715,1,0.296296,2.24999,0.0000774597
0,2,1,191,566.274,0.748496,105.882,26.7819,0.976982,0.668055
0,2,3,15,114.142,14.468,1,0.800217,1.7647,0.449734
0,2,4,9,8,176.715,1,0.296296,2.24999,0.0000774597
0,2,5,18,14,115.405,0.5,1.34259,1.8,0.944749
0,2,6,12,10,150.796,0.75,0.541666,2,0.8
0,2,7,9,8,176.715,1,0.296296,2.24999,0.0000774597
0,2,8,12,10,150.796,0.75,0.541666,2,0.8
0,2,9,12,10,150.796,133.333,0.541666,2,0.8
0,3,1,18,128.284,137.447,0.8,1.1459,1.63636,0.672944
0,3,2,9,8,176.715,1,0.296296,2.24999,0.0000774597
0,3,3,38,216.569,101.813,133.333,3.74759,1.33333,0.823344
0,3,4,36,228.284,0.868081,1,3.50112,1.22034,0.583219
0,3,5,12,10,150.796,0.75,0.541666,2,0.8
0,3,6,9,8,176.715,1,0.296296,2.24999,0.0000774597
0,4,4,21,148.284,120.016,1.5,1.53805,1.55555,0.81476
0,4,5,15,12,1.309,166.667,0.888888,1.875,0.904534
0,4,6,84,452.132,0.516367,123.077,21.0993,0.857143,0.908844
0,4,7,56,270.711,0.960256,1.125,5.59931,1.17895,0.601696
0,4,8,40,242.426,0.855283,114.286,3.87922,1.19403,0.506288
0,5,2,9,8,176.715,1,0.296296,2.24999,0.0000774597
0,5,3,9,8,176.715,1,0.296296,2.24999,0.0000774597
0,5,4,47,230.711,110.962,114.286,4.6186,1.30556,0.675757
1,1,1,25,168.284,110.934,1.75,2.12493,1.51515,0.876391
1,1,2,17,128.284,129.811,0.8,1.07647,1.61905,0.772038
1,2,2,12,10,150.796,133.333,0.541666,2,0.8
1,2,3,12,10,150.796,0.75,0.541666,2,0.8
1,3,4,12,10,150.796,0.75,0.541666,2,0.8
1,3,5,19,134.142,132.688,0.8,1.19921,1.65217,0.696279
1,3,6,18,14,115.405,0.5,1.34259,1.8,0.944749
1,4,1,12,10,150.796,133.333,0.541666,2,0.8
1,4,2,18,134.142,125.705,0.8,1.11478,1.63636,0.729903
1,5,2,27,194.142,0.90019,0.5,2.91065,1.45946,0.940463
1,5,3,22,154.142,116.356,0.666667,1.60166,1.57143,0.830688
1,5,4,9,8,176.715,1,0.296296,2.24999,0.0000774597
