Folder,Image,Label,Area,Perimeter,Circularity,Aspect_Ratio
0,1,2,119,504.853,0.586715,0.705882
0,1,3,9,8,176.715,1
0,1,4,12,10,150.796,0.75
0,1,5,12,10,150.796,133.333
0,1,6,9,8,176.715,1
0,2,1,191,566.274,0.748496,105.882
0,2,3,15,114.142,14.468,1
0,2,4,9,8,176.715,1
0,2,5,18,14,115.405,0.5
0,2,6,12,10,150.796,0.75
0,2,7,9,8,176.715,1
0,2,8,12,10,150.796,0.75
0,2,9,12,10,150.796,133.333
0,3,1,18,128.284,137.447,0.8
0,3,2,9,8,176.715,1
0,3,3,38,216.569,101.813,133.333
0,3,4,36,228.284,0.868081,1
0,3,5,12,10,150.796,0.75
0,3,6,9,8,176.715,1
0,4,4,21,148.284,120.016,1.5
0,4,5,15,12,1.309,166.667
0,4,6,84,452.132,0.516367,123.077
0,4,7,56,270.711,0.960256,1.125
0,4,8,40,242.426,0.855283,114.286
0,5,2,9,8,176.715,1
0,5,3,9,8,176.715,1
0,5,4,47,230.711,110.962,114.286
1,1,1,25,168.284,110.934,1.75
1,1,2,17,128.284,129.811,0.8
1,2,2,12,10,150.796,133.333
1,2,3,12,10,150.796,0.75
1,3,4,12,10,150.796,0.75
1,3,5,19,134.142,132.688,0.8
1,3,6,18,14,115.405,0.5
1,4,1,12,10,150.796,133.333
1,4,2,18,134.142,125.705,0.8
1,5,2,27,194.142,0.90019,0.5
1,5,3,22,154.142,116.356,0.666667
1,5,4,9,8,176.715,1
1,6,2,9,8,176.715,1
1,6,3,23,154.142,121.645,0.666667
1,6,4,22,148.284,125.731,1
3,1,1,65,273.137,109.487,1
3,1,2,68,318.995,0.839752,0.666667
3,1,3,81,367.279,0.754575,0.769231
3,2,3,95,458.995,0.566654,0.8
3,3,3,9,8,176.715,1
3,4,3,84,329.706,0.971038,0.833333
3,5,4,50,238.995,110.002,1
3,6,5,30,176.569,120.922,1.4
4,1,35,169,712.132,0.41877,208.333
4,1,36,23,154.142,121.645,1.5
4,2,26,29,188.284,102.797,1.4
5,1,71,9,8,176.715,1
7,1,29,44,238.995,0.968022,128.571
7,2,22,36,210.711,101.892,1
7,2,23,56,342.426,0.600155,0.538462
7,2,25,22,148.284,125.731,1
7,4,22,24,156.569,12.303,1.2
7,5,11,33,190.711,114.018,0.857143
9,1,7,12,10,150.796,133.333
9,1,8,12,10,150.796,133.333
9,1,9,15,114.142,14.468,1
9,2,4,70,344.853,0.739674,0.615385
9,2,5,21,148.284,120.016,1
10,1,7,30,228.284,0.723401,2.5
10,1,8,15,114.142,14.468,1
10,1,9,12,10,150.796,133.333
10,1,10,68,310.711,0.885129,171.429
10,2,14,41,230.711,0.967962,0.875
10,3,13,40,216.569,107.171,1
10,3,14,22,148.284,125.731,1
10,4,8,31,208.284,0.897963,0.857143
10,4,9,60,262.426,109.483,1
10,5,2,9,8,176.715,1
10,6,3,24,16,11.781,0.666667
10,6,4,12,10,150.796,0.75
11,1,2,15,114.142,14.468,1
11,1,3,17,148.284,0.971558,1
11,1,4,9,8,176.715,1
11,1,5,72,318.995,0.889149,1
11,2,22,9,8,176.715,1
11,2,24,54,316.569,0.677124,0.583333
11,2,28,26,168.284,115.371,1.75
11,3,9,92,421.421,0.650975,1
11,4,5,54,284.853,0.836301,1
11,5,4,9,8,176.715,1
