Folder,Image,Label,Area,Perimeter,Circularity,Aspect_Ratio,,,,,,,,,,,,,,
0,1,1,24,208.284,0.695197,116.667,,,,,,,,,0,1,1,2.86939,1.14286,0.857115
0,2,2,27,188.284,0.957074,0.714286,,,,,,,,,0,2,2,2.24958,1.35,0.76314
0,3,7,12,10,150.796,133.333,,,,,,,,,0,3,7,0.541666,2,0.8
0,4,1,9,8,176.715,1,,,,,,,,,0,4,1,0.296296,2.24999,0.0000774597
0,4,2,22,154.142,116.356,0.666667,,,,,,,,,0,4,2,1.60166,1.57143,0.830689
0,4,3,27,174.142,111.883,0.571429,,,,,,,,,0,4,3,2.33657,1.54286,0.887945
0,5,1,12,10,150.796,133.333,,,,,,,,,0,5,1,0.541666,2,0.8
0,5,5,9,8,176.715,1,,,,,,,,,0,5,5,0.296296,2.24999,0.0000774597
0,5,6,42,250.711,0.839679,128.571,,,,,,,,,0,5,6,4.14651,1.13513,0.693933
0,6,1,15,12,1.309,166.667,,,,,,,,,0,6,1,0.888888,1.875,0.904534
0,6,2,9,8,176.715,1,,,,,,,,,0,6,2,0.296296,2.24999,0.0000774597
0,6,3,9,8,176.715,1,,,,,,,,,0,6,3,0.296296,2.24999,0.0000774597
0,6,4,45,222.426,114.301,1,,,,,,,,,0,6,4,4.08061,1.32353,0.416707
0,7,1,25,176.569,100.768,1,,,,,,,,,0,7,1,2.1666,1.31579,0.779332
0,7,2,40,214.142,109.614,0.857143,,,,,,,,,0,7,2,3.42605,1.37931,0.573015
0,7,3,44,228.284,106.099,1,,,,,,,,,0,7,3,3.93046,1.31343,0.588784
1,1,3,6,6,209.439,1.5,,,,,,,,,1,1,3,0.138889,2.99999,1
1,2,1,9,8,176.715,1,,,,,,,,,1,2,1,0.296296,2.24999,0.0000774597
1,2,4,45,234.142,103.149,1,,,,,,,,,1,2,4,4.0301,1.32353,0.476544
1,2,5,6,6,209.439,1.5,,,,,,,,,1,2,5,0.138889,2.99999,1
1,3,1,12,10,150.796,133.333,,,,,,,,,1,3,1,0.541666,2,0.8
1,3,2,9,8,176.715,1,,,,,,,,,1,3,2,0.296296,2.24999,0.0000774597
1,3,3,45,236.569,101.044,1.5,,,,,,,,,1,3,3,4.69869,1.28571,0.814332
1,3,7,28,182.426,105.729,1,,,,,,,,,1,3,7,2.31633,1.33333,0.653387
1,3,8,27,194.142,0.90019,0.714286,,,,,,,,,1,3,8,2.48416,1.35,0.811175
1,3,9,6,6,209.439,0.666667,,,,,,,,,1,3,9,0.138889,2.99999,1
1,3,10,15,12,1.309,0.6,,,,,,,,,1,3,10,0.888888,1.875,0.904534
1,3,11,21,16,103.084,233.333,,,,,,,,,1,3,11,1.90476,1.75,0.964486
1,4,3,12,10,150.796,133.333,,,,,,,,,1,4,3,0.541666,2,0.8
1,5,1,9,8,176.715,1,,,,,,,,,1,5,1,0.296296,2.24999,0.0000774597
1,5,5,39,214.142,106.874,0.857143,,,,,,,,,1,5,5,3.31378,1.36842,0.552179
