0,1,2,3,4,5,6
0.0,1.0,1.0,24.0,208.284,0.695197,116.667
0.0,2.0,2.0,27.0,188.284,0.957074,0.714286
0.0,3.0,7.0,12.0,10.0,150.796,133.333
0.0,4.0,1.0,9.0,8.0,176.715,1.0
0.0,4.0,2.0,22.0,154.142,116.356,0.666667
0.0,4.0,3.0,27.0,174.142,111.883,0.571429
0.0,5.0,1.0,12.0,10.0,150.796,133.333
0.0,5.0,5.0,9.0,8.0,176.715,1.0
0.0,5.0,6.0,42.0,250.711,0.839679,128.571
0.0,6.0,1.0,15.0,12.0,1.309,166.667
0.0,6.0,2.0,9.0,8.0,176.715,1.0
0.0,6.0,3.0,9.0,8.0,176.715,1.0
0.0,6.0,4.0,45.0,222.426,114.301,1.0
0.0,7.0,1.0,25.0,176.569,100.768,1.0
0.0,7.0,2.0,40.0,214.142,109.614,0.857143
0.0,7.0,3.0,44.0,228.284,106.099,1.0
1.0,1.0,3.0,6.0,6.0,209.439,1.5
1.0,2.0,1.0,9.0,8.0,176.715,1.0
1.0,2.0,4.0,45.0,234.142,103.149,1.0
1.0,2.0,5.0,6.0,6.0,209.439,1.5
1.0,3.0,1.0,12.0,10.0,150.796,133.333
1.0,3.0,2.0,9.0,8.0,176.715,1.0
1.0,3.0,3.0,45.0,236.569,101.044,1.5
1.0,3.0,7.0,28.0,182.426,105.729,1.0
1.0,3.0,8.0,27.0,194.142,0.90019,0.714286
1.0,3.0,9.0,6.0,6.0,209.439,0.666667
1.0,3.0,10.0,15.0,12.0,1.309,0.6
1.0,3.0,11.0,21.0,16.0,103.084,233.333
1.0,4.0,3.0,12.0,10.0,150.796,133.333
1.0,5.0,1.0,9.0,8.0,176.715,1.0
1.0,5.0,5.0,39.0,214.142,106.874,0.857143
1.0,5.0,6.0,12.0,10.0,150.796,133.333
1.0,6.0,1.0,10.0,10.0,125.664,0.4
1.0,6.0,5.0,15.0,114.142,14.468,1.0
1.0,6.0,6.0,15.0,12.0,1.309,166.667
2.0,1.0,1.0,16.0,12.0,139.626,1.0
2.0,1.0,2.0,9.0,8.0,176.715,1.0
2.0,1.0,3.0,18.0,14.0,115.405,0.5
2.0,1.0,4.0,12.0,10.0,150.796,0.75
2.0,1.0,5.0,11.0,941.421,155.968,0.75
2.0,2.0,1.0,24.0,182.426,0.906245,0.714286
2.0,2.0,2.0,9.0,8.0,176.715,1.0
2.0,2.0,3.0,12.0,10.0,150.796,133.333
2.0,2.0,4.0,9.0,8.0,176.715,1.0
2.0,2.0,5.0,9.0,8.0,176.715,1.0
2.0,3.0,1.0,91.0,392.132,0.743681,0.857143
2.0,3.0,2.0,36.0,216.569,0.964543,0.75
2.0,3.0,3.0,22.0,156.569,112.778,0.833333
2.0,4.0,1.0,9.0,8.0,176.715,1.0
2.0,4.0,2.0,58.0,270.711,0.994551,0.888889
2.0,4.0,3.0,9.0,8.0,176.715,1.0
2.0,4.0,4.0,9.0,8.0,176.715,1.0
2.0,4.0,5.0,6.0,6.0,209.439,0.666667
2.0,5.0,1.0,45.0,222.426,114.301,1.0
2.0,5.0,2.0,12.0,10.0,150.796,0.75
2.0,5.0,3.0,18.0,134.142,125.705,0.8
2.0,5.0,4.0,9.0,8.0,176.715,1.0
2.0,5.0,5.0,9.0,8.0,176.715,1.0
2.0,5.0,6.0,26.0,168.284,115.371,1.2
2.0,5.0,7.0,43.0,222.426,109.221,1.0
2.0,6.0,1.0,12.0,10.0,150.796,133.333
2.0,6.0,2.0,12.0,10.0,150.796,0.75
2.0,6.0,3.0,44.0,224.853,109.362,114.286
2.0,6.0,4.0,6.0,6.0,209.439,0.666667
2.0,6.0,5.0,31.0,188.284,109.886,0.714286
2.0,6.0,6.0,15.0,12.0,1.309,0.6
2.0,6.0,7.0,18.0,134.142,125.705,0.8
3.0,1.0,4.0,15.0,12.0,1.309,0.6
3.0,1.0,5.0,9.0,8.0,176.715,1.0
3.0,1.0,6.0,9.0,8.0,176.715,1.0
3.0,1.0,7.0,22.0,162.426,10.479,0.833333
3.0,1.0,8.0,21.0,188.284,0.744391,1.0
3.0,1.0,9.0,32.0,188.284,113.431,0.714286
3.0,1.0,10.0,6.0,6.0,209.439,1.5
3.0,2.0,1.0,9.0,8.0,176.715,1.0
3.0,2.0,2.0,17.0,148.284,0.971558,1.0
3.0,2.0,4.0,53.0,276.569,0.870723,142.857
3.0,2.0,5.0,9.0,8.0,176.715,1.0
3.0,2.0,6.0,28.0,182.426,105.729,0.714286
3.0,3.0,1.0,104.0,420.416,0.739408,115.385
3.0,3.0,2.0,17.0,128.284,129.811,0.8
3.0,3.0,4.0,9.0,8.0,176.715,1.0
3.0,3.0,5.0,9.0,8.0,176.715,1.0
3.0,3.0,6.0,44.0,228.284,106.099,1.0
3.0,4.0,1.0,9.0,8.0,176.715,1.0
3.0,4.0,2.0,59.0,253.137,115.705,1.125
3.0,4.0,4.0,9.0,8.0,176.715,1.0
3.0,4.0,5.0,12.0,10.0,150.796,0.75
3.0,4.0,6.0,9.0,8.0,176.715,1.0
3.0,4.0,7.0,35.0,210.711,0.990615,1.0
3.0,4.0,8.0,9.0,8.0,176.715,1.0
3.0,4.0,9.0,11.0,941.421,155.968,133.333
3.0,5.0,1.0,21.0,154.142,111.067,1.5
3.0,5.0,2.0,61.0,270.711,104.599,0.888889
3.0,5.0,3.0,9.0,8.0,176.715,1.0
3.0,5.0,5.0,27.0,222.426,0.685805,0.75
3.0,5.0,6.0,26.0,168.284,115.371,0.571429
3.0,5.0,7.0,12.0,10.0,150.796,133.333
3.0,6.0,1.0,18.0,134.142,125.705,1.25
3.0,6.0,2.0,12.0,10.0,150.796,133.333
3.0,6.0,3.0,9.0,8.0,176.715,1.0
3.0,6.0,4.0,64.0,307.279,0.851772,1.0
3.0,6.0,6.0,21.0,154.142,111.067,0.666667
3.0,6.0,7.0,27.0,174.142,111.883,0.571429
3.0,6.0,8.0,34.0,194.142,113.357,1.0
3.0,6.0,9.0,14.0,108.284,15.004,1.0
3.0,6.0,10.0,9.0,8.0,176.715,1.0
4.0,1.0,1.0,91.0,490.711,0.474898,154.545
4.0,1.0,2.0,11.0,941.421,155.968,133.333
4.0,1.0,3.0,60.0,284.853,0.929223,1.0
4.0,1.0,4.0,20.0,154.142,105.778,233.333
4.0,1.0,5.0,35.0,194.142,116.691,1.0
4.0,1.0,6.0,78.0,330.711,0.896206,0.666667
4.0,1.0,7.0,15.0,114.142,14.468,1.0
4.0,1.0,8.0,67.0,313.137,0.858649,1.0
4.0,1.0,9.0,45.0,288.284,0.680425,0.545455
4.0,1.0,10.0,12.0,10.0,150.796,133.333
4.0,1.0,11.0,105.0,406.274,0.799394,107.692
4.0,1.0,12.0,26.0,208.284,0.753131,116.667
4.0,1.0,13.0,9.0,8.0,176.715,1.0
4.0,1.0,14.0,165.0,653.553,0.485436,1.0
4.0,1.0,15.0,9.0,8.0,176.715,1.0
4.0,1.0,16.0,15.0,12.0,1.309,0.6
4.0,1.0,17.0,15.0,12.0,1.309,166.667
4.0,1.0,18.0,32.0,182.426,120.833,1.0
4.0,1.0,19.0,12.0,10.0,150.796,133.333
4.0,1.0,20.0,52.0,236.569,116.761,0.875
4.0,1.0,21.0,117.0,440.416,0.758,0.933333
4.0,1.0,22.0,24.0,202.426,0.736015,116.667
4.0,1.0,23.0,38.0,202.426,116.536,0.857143
4.0,1.0,24.0,9.0,8.0,176.715,1.0
4.0,1.0,25.0,12.0,10.0,150.796,133.333
4.0,1.0,26.0,9.0,8.0,176.715,1.0
4.0,1.0,27.0,9.0,8.0,176.715,1.0
4.0,1.0,28.0,28.0,188.284,0.992521,2.0
4.0,1.0,29.0,24.0,174.142,0.99452,0.571429
4.0,1.0,30.0,9.0,8.0,176.715,1.0
4.0,1.0,31.0,9.0,8.0,176.715,1.0
4.0,1.0,32.0,9.0,8.0,176.715,1.0
4.0,1.0,33.0,25.0,168.284,110.934,1.75
4.0,1.0,34.0,18.0,14.0,115.405,2.0
4.0,1.0,37.0,12.0,10.0,150.796,133.333
4.0,1.0,38.0,12.0,10.0,150.796,0.75
4.0,1.0,39.0,32.0,208.284,0.92693,116.667
4.0,1.0,40.0,26.0,162.426,123.843,1.2
4.0,1.0,41.0,12.0,10.0,150.796,133.333
4.0,1.0,42.0,34.0,208.284,0.984863,0.857143
4.0,1.0,43.0,99.0,41.799,0.712055,0.6875
4.0,1.0,44.0,15.0,12.0,1.309,0.6
